ZIP5,CBSA CODE,CBSA LSAD
04841,40500,Micropolitan Statistical Area
04843,40500,Micropolitan Statistical Area
04846,40500,Micropolitan Statistical Area
04847,40500,Micropolitan Statistical Area
04848,,
04849,,
04850,,
04851,40500,Micropolitan Statistical Area
04852,,
04853,40500,Micropolitan Statistical Area
04854,40500,Micropolitan Statistical Area
04855,40500,Micropolitan Statistical Area
04856,40500,Micropolitan Statistical Area
04858,40500,Micropolitan Statistical Area
04859,40500,Micropolitan Statistical Area
04860,40500,Micropolitan Statistical Area
04861,40500,Micropolitan Statistical Area
04862,40500,Micropolitan Statistical Area
04863,40500,Micropolitan Statistical Area
04864,40500,Micropolitan Statistical Area
04865,40500,Micropolitan Statistical Area
04901,12300,Micropolitan Statistical Area
04903,12300,Micropolitan Statistical Area
04910,12300,Micropolitan Statistical Area
04911,,
04912,,
04915,,
04917,12300,Micropolitan Statistical Area
04918,12300,Micropolitan Statistical Area
04920,,
04921,,
04922,,
04923,,
04924,,
04925,,
04926,12300,Micropolitan Statistical Area
04927,12300,Micropolitan Statistical Area
04928,12620,Metropolitan Statistical Area
04929,,
04930,12620,Metropolitan Statistical Area
04930,,
04932,12620,Metropolitan Statistical Area
04933,12620,Metropolitan Statistical Area
04935,12300,Micropolitan Statistical Area
04936,,
04937,,
04937,12300,Micropolitan Statistical Area
04938,,
04939,12620,Metropolitan Statistical Area
04940,,
04941,,
04942,,
04943,,
04944,,
04945,,
04947,,
04949,,
04950,,
04951,,
04952,,
04953,12620,Metropolitan Statistical Area
04954,,
04955,,
04956,,
04957,,
04957,12300,Micropolitan Statistical Area
04958,,
04961,,
04962,12300,Micropolitan Statistical Area
04963,12300,Micropolitan Statistical Area
04964,,
04965,,
04966,,
04967,,
04969,12620,Metropolitan Statistical Area
04970,,
04971,,
04972,,
04973,,
04974,,
04975,,
04976,,
04978,,
04979,,
04981,,
04982,,
04983,,
04984,,
04985,,
04986,,
04987,,
04988,,
04989,12300,Micropolitan Statistical Area
04992,,
15201,38300,Metropolitan Statistical Area
15202,38300,Metropolitan Statistical Area
15203,38300,Metropolitan Statistical Area
15204,38300,Metropolitan Statistical Area
15205,38300,Metropolitan Statistical Area
15206,38300,Metropolitan Statistical Area
15207,38300,Metropolitan Statistical Area
15208,38300,Metropolitan Statistical Area
15209,38300,Metropolitan Statistical Area
15210,38300,Metropolitan Statistical Area
15211,38300,Metropolitan Statistical Area
15212,38300,Metropolitan Statistical Area
15213,38300,Metropolitan Statistical Area
15214,38300,Metropolitan Statistical Area
15215,38300,Metropolitan Statistical Area
15216,38300,Metropolitan Statistical Area
15217,38300,Metropolitan Statistical Area
15218,38300,Metropolitan Statistical Area
15219,38300,Metropolitan Statistical Area
15220,38300,Metropolitan Statistical Area
15221,38300,Metropolitan Statistical Area
15222,38300,Metropolitan Statistical Area
15223,38300,Metropolitan Statistical Area
15224,38300,Metropolitan Statistical Area
15225,38300,Metropolitan Statistical Area
15226,38300,Metropolitan Statistical Area
15227,38300,Metropolitan Statistical Area
15228,38300,Metropolitan Statistical Area
15229,38300,Metropolitan Statistical Area
15230,38300,Metropolitan Statistical Area
15231,38300,Metropolitan Statistical Area
15232,38300,Metropolitan Statistical Area
15233,38300,Metropolitan Statistical Area
15234,38300,Metropolitan Statistical Area
15235,38300,Metropolitan Statistical Area
15236,38300,Metropolitan Statistical Area
15237,38300,Metropolitan Statistical Area
15238,38300,Metropolitan Statistical Area
15239,38300,Metropolitan Statistical Area
15240,38300,Metropolitan Statistical Area
15241,38300,Metropolitan Statistical Area
15242,38300,Metropolitan Statistical Area
15243,38300,Metropolitan Statistical Area
15244,38300,Metropolitan Statistical Area
15250,38300,Metropolitan Statistical Area
15251,38300,Metropolitan Statistical Area
15252,38300,Metropolitan Statistical Area
15253,38300,Metropolitan Statistical Area
