,State-County-Tract FIPS Code (lookup by address at http://www.ffiec.gov/Geocode/),"Secondary RUCA Code, 2010"
0,1001020100,1.0
1,1001020200,1.0
2,1001020300,1.0
3,1001020400,1.0
4,1001020500,1.0
5,1001020600,1.0
6,1001020700,1.0
7,1001020801,2.0
8,1001020802,2.0
9,1001020900,2.0
10,1001021000,2.0
11,1001021100,2.0
12,1003010100,9.0
13,1003010200,8.1
14,1003010300,3.0
15,1003010400,3.0
16,1003010500,7.1
17,1003010600,7.1
18,1003010701,1.1
19,1003010703,1.1
20,1003010704,1.1
21,1003010705,1.1
22,1003010800,1.1
23,1003010903,1.1
24,1003010904,3.0
25,1003010905,3.0
26,1003010906,3.0
27,1003011000,5.1
28,1003011101,1.1
29,1003011102,2.1
30,1003011201,1.1
31,1003011202,1.1
32,1003011300,2.1
33,1003011401,5.1
34,1003011403,4.0
35,1003011405,1.0
36,1003011406,4.0
37,1003011407,4.0
38,1003011408,5.0
39,1003011501,4.0
40,1003011502,4.0
41,1003011601,5.0
42,1003011602,1.0
43,1003990000,99.0
44,1005950100,7.0
45,1005950200,8.0
46,1005950300,10.3
47,1005950400,10.2
48,1005950500,8.0
49,1005950600,7.0
50,1005950700,7.0
51,1005950800,7.0
52,1005950900,7.0
53,1007010001,2.0
54,1007010002,2.0
55,1007010003,2.0
56,1007010004,2.0
57,1009050101,7.1
58,1009050102,7.1
59,1009050200,2.0
60,1009050300,9.0
61,1009050400,10.2
62,1009050500,3.0
63,1009050601,2.0
64,1009050602,2.0
65,1009050700,2.0
66,1011952100,2.0
67,1011952200,2.0
68,1011952500,2.0
69,1013952700,7.1
70,1013952800,7.1
71,1013952900,10.3
72,1013953000,8.0
73,1013953100,7.1
74,1013953200,8.1
75,1013953300,2.0
76,1013953400,10.0
77,1013953500,2.0
78,1015000200,1.0
79,1015000300,1.0
80,1015000400,1.0
81,1015000500,1.0
82,1015000600,1.0
83,1015000700,1.0
84,1015000800,1.0
85,1015000900,1.0
86,1015001000,1.0
87,1015001100,1.0
88,1015001201,1.0
89,1015001202,1.0
90,1015001300,1.0
91,1015001400,1.0
92,1015001500,1.0
93,1015001600,1.0
94,1015001700,1.0
95,1015001800,1.0
96,1015002000,2.0
97,1015002101,1.0
98,1015002102,1.0
99,1015002103,1.0
100,1015002200,2.0
101,1015002300,2.0
102,1015002400,2.0
103,1015002501,2.0
104,1015002502,2.0
105,1015002600,2.0
106,1015981901,2.0
107,1015981902,2.0
108,1015981903,10.0
109,1017953800,6.0
110,1017953900,4.0
111,1017954000,2.0
112,1017954200,5.1
113,1017954300,4.0
114,1017954400,4.0
115,1017954500,4.0
116,1017954600,4.0
117,1017954700,4.0
118,1019955701,2.0
119,1019955702,3.0
120,1019955800,2.0
121,1019955900,3.0
122,1019956000,3.0
123,1019956100,2.0
124,1021060101,7.1
125,1021060102,7.1
126,1021060200,8.1
127,1021060300,2.0
128,1021060401,2.0
129,1021060402,2.0
130,1021060500,10.3
131,1021060600,9.0
132,1021060700,8.1
133,1023956700,5.0
134,1023956800,10.2
135,1023956900,10.0
136,1023957000,10.0
137,1025957500,8.0
138,1025957601,10.0
139,1025957602,7.1
140,1025957700,5.0
141,1025957800,10.1
142,1025957901,2.0
143,1025957902,7.1
144,1025958001,10.0
145,1025958002,10.3
146,1027958900,2.0
147,1027959000,2.0
148,1027959100,10.0
149,1027959200,5.0
150,1029959500,2.0
151,1029959600,2.0
152,1029959700,2.0
153,1029959800,5.0
154,1031010100,6.0
155,1031010200,5.0
156,1031010300,5.0
157,1031010400,5.0
158,1031010500,10.2
159,1031010600,10.0
160,1031010700,5.0
161,1031010800,5.0
162,1031010900,4.1
163,1031011000,4.1
164,1031011100,4.1
165,1031011201,4.1
166,1031011202,4.1
167,1031011300,4.1
168,1033020100,1.0
169,1033020200,1.0
170,1033020300,1.0
171,1033020400,1.0
172,1033020500,1.0
173,1033020600,1.0
174,1033020701,1.0
175,1033020703,1.0
176,1033020704,1.0
177,1033020801,2.0
178,1033020802,2.0
179,1033020901,2.0
180,1033020902,2.0
181,1033021000,2.0
182,1035960200,3.0
183,1035960300,8.0
184,1035960400,10.0
185,1035960500,7.1
186,1035960600,7.1
187,1037961000,8.2
188,1037961100,5.0
189,1037961200,3.0
190,1039961600,9.0
191,1039961700,8.0
192,1039961800,7.0
193,1039961900,7.0
194,1039962000,7.0
195,1039962100,7.0
196,1039962300,10.0
197,1039962400,7.0
198,1039962500,7.0
199,1039962600,7.0
200,1039962700,7.0
201,1039962800,2.0
202,1039962900,8.0
203,1039963000,3.0
204,1041963400,2.0
205,1041963500,2.0
206,1041963600,2.0
207,1041963700,3.0
208,1041963800,10.3
209,1041963900,2.0
210,1043964100,9.0
